x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.004826, 0.000776, -0.000743 
0.004827, 0.000776, -0.000743 
0.004942, 0.000795, -0.000761 
0.005057, 0.000813, -0.000778 
0.005173, 0.000832, -0.000796 
0.005286, 0.000850, -0.000813 
0.005400, 0.000869, -0.000831 
0.005514, 0.000887, -0.000849 
0.005628, 0.000905, -0.000866 
0.005741, 0.000924, -0.000884 
0.005856, 0.000942, -0.000901 
0.005972, 0.000961, -0.000919 
0.006085, 0.000979, -0.000936 
0.006199, 0.000997, -0.000954 
0.006312, 0.001015, -0.000971 
0.006426, 0.001034, -0.000989 
0.006540, 0.001052, -0.001006 
0.006655, 0.001070, -0.001024 
0.006768, 0.001089, -0.001042 
0.012928, -0.001001, -0.000984 
0.012937, -0.001002, -0.000984 
0.013162, -0.001030, -0.000998 
0.013416, -0.001062, -0.001013 
0.013675, -0.001094, -0.001029 
0.013926, -0.001126, -0.001044 
0.014178, -0.001157, -0.001059 
0.014432, -0.001189, -0.001075 
0.014685, -0.001221, -0.001090 
0.014938, -0.001253, -0.001105 
0.015193, -0.001285, -0.001121 
0.015450, -0.001317, -0.001136 
0.015702, -0.001348, -0.001151 
0.015955, -0.001380, -0.001167 
0.016209, -0.001412, -0.001182 
0.016462, -0.001443, -0.001197 
0.016714, -0.001475, -0.001212 
0.016971, -0.001507, -0.001228 
0.017230, -0.001540, -0.001244 
0.017478, -0.001571, -0.001259 
0.017840, -0.001616, -0.001281 
0.014856, 0.000476, -0.001184 
0.014886, 0.000479, -0.001186 
0.015062, 0.000497, -0.001198 
0.015239, 0.000516, -0.001211 
0.015414, 0.000535, -0.001224 
0.015588, 0.000553, -0.001236 
0.015763, 0.000571, -0.001248 
0.015938, 0.000590, -0.001261 
0.016116, 0.000609, -0.001274 
0.016290, 0.000627, -0.001286 
0.016466, 0.000646, -0.001299 
0.016641, 0.000664, -0.001311 
0.016813, 0.000682, -0.001324 
0.016989, 0.000701, -0.001336 
0.017165, 0.000719, -0.001349 
0.017341, 0.000738, -0.001362 
0.017515, 0.000756, -0.001374 
0.017692, 0.000775, -0.001387 
0.017864, 0.000793, -0.001399 
0.018040, 0.000812, -0.001412 
