x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.003485, 0.000469, 0.001015 
0.003504, 0.000471, 0.001020 
0.003589, 0.000483, 0.001045 
0.003672, 0.000494, 0.001069 
0.003756, 0.000505, 0.001094 
0.003840, 0.000517, 0.001118 
0.003924, 0.000528, 0.001143 
0.004008, 0.000539, 0.001167 
0.004092, 0.000550, 0.001192 
0.004175, 0.000562, 0.001216 
0.004259, 0.000573, 0.001241 
0.004343, 0.000584, 0.001265 
0.004428, 0.000596, 0.001290 
0.004512, 0.000607, 0.001314 
0.004595, 0.000618, 0.001338 
0.004694, 0.000631, 0.001367 
0.004762, 0.000641, 0.001387 
0.004846, 0.000652, 0.001411 
0.004930, 0.000663, 0.001436 
0.005014, 0.000674, 0.001460 
0.008575, 0.002195, -0.000888 
0.008577, 0.002196, -0.000888 
0.008744, 0.002243, -0.000922 
0.008909, 0.002291, -0.000954 
0.009074, 0.002338, -0.000987 
0.009242, 0.002386, -0.001020 
0.009405, 0.002432, -0.001053 
0.009570, 0.002479, -0.001086 
0.009734, 0.002526, -0.001118 
0.009898, 0.002573, -0.001151 
0.010063, 0.002620, -0.001184 
0.010229, 0.002667, -0.001217 
0.010395, 0.002714, -0.001249 
0.010559, 0.002761, -0.001282 
0.010724, 0.002808, -0.001315 
0.010888, 0.002855, -0.001348 
0.011053, 0.002902, -0.001380 
0.011218, 0.002949, -0.001413 
0.011387, 0.002998, -0.001447 
0.011547, 0.003043, -0.001478 
0.010294, 0.002847, -0.001700 
0.010296, 0.002847, -0.001701 
0.010305, 0.002850, -0.001703 
0.010429, 0.002889, -0.001739 
0.010554, 0.002929, -0.001774 
0.010680, 0.002968, -0.001811 
0.010804, 0.003008, -0.001846 
0.010928, 0.003047, -0.001882 
0.011053, 0.003086, -0.001917 
0.011178, 0.003125, -0.001953 
0.011304, 0.003165, -0.001989 
0.011428, 0.003205, -0.002025 
0.011552, 0.003244, -0.002061 
0.011675, 0.003282, -0.002096 
0.011801, 0.003322, -0.002132 
0.011925, 0.003361, -0.002167 
0.012050, 0.003401, -0.002203 
0.012173, 0.003440, -0.002239 
0.012298, 0.003479, -0.002274 
0.012424, 0.003519, -0.002310 
0.012548, 0.003558, -0.002346 
0.010445, 0.003896, -0.002512 
0.010464, 0.003909, -0.002522 
0.010535, 0.003954, -0.002560 
0.010606, 0.004000, -0.002599 
