x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.000077, 0.002158, 0.000019 
-0.000078, 0.002187, 0.000019 
-0.000080, 0.002239, 0.000019 
-0.000082, 0.002292, 0.000020 
-0.000084, 0.002344, 0.000020 
-0.000086, 0.002396, 0.000021 
-0.000088, 0.002450, 0.000021 
-0.000090, 0.002501, 0.000021 
-0.000091, 0.002553, 0.000022 
-0.000093, 0.002606, 0.000022 
-0.000095, 0.002658, 0.000023 
-0.000097, 0.002711, 0.000023 
-0.000099, 0.002763, 0.000024 
-0.000101, 0.002816, 0.000024 
-0.000103, 0.002868, 0.000025 
-0.000105, 0.002920, 0.000025 
-0.000107, 0.002973, 0.000026 
-0.000108, 0.003025, 0.000026 
-0.000110, 0.003077, 0.000026 
-0.000112, 0.003130, 0.000027 
0.004742, 0.000924, 0.000227 
0.004744, 0.000924, 0.000227 
0.004852, 0.000921, 0.000232 
0.004967, 0.000918, 0.000237 
0.005081, 0.000916, 0.000242 
0.005196, 0.000913, 0.000248 
0.005310, 0.000910, 0.000253 
0.005423, 0.000907, 0.000258 
0.005536, 0.000904, 0.000263 
0.005651, 0.000902, 0.000268 
0.005765, 0.000899, 0.000274 
0.005880, 0.000896, 0.000279 
0.005994, 0.000893, 0.000284 
0.006108, 0.000890, 0.000289 
0.006221, 0.000888, 0.000294 
0.006336, 0.000885, 0.000300 
0.006450, 0.000882, 0.000305 
0.006565, 0.000879, 0.000310 
0.006679, 0.000876, 0.000315 
0.011262, 0.001288, 0.000245 
0.011264, 0.001288, 0.000245 
0.011378, 0.001292, 0.000247 
0.011586, 0.001299, 0.000250 
0.011806, 0.001307, 0.000253 
0.012023, 0.001314, 0.000257 
0.012242, 0.001321, 0.000260 
0.012459, 0.001328, 0.000263 
0.012675, 0.001336, 0.000266 
0.012893, 0.001343, 0.000269 
0.013113, 0.001350, 0.000273 
0.013330, 0.001358, 0.000276 
0.013548, 0.001365, 0.000279 
0.013767, 0.001372, 0.000282 
0.013982, 0.001379, 0.000285 
0.014198, 0.001387, 0.000289 
0.014419, 0.001394, 0.000292 
0.014637, 0.001401, 0.000295 
0.014852, 0.001409, 0.000298 
0.015070, 0.001416, 0.000301 
0.014460, 0.001593, 0.001300 
