x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.003391, 0.003476, 0.000046 
0.003399, 0.003484, 0.000046 
0.003490, 0.003578, 0.000048 
0.003621, 0.003712, 0.000049 
0.003752, 0.003846, 0.000051 
0.003883, 0.003980, 0.000053 
0.004015, 0.004115, 0.000055 
0.004147, 0.004251, 0.000057 
0.004279, 0.004386, 0.000058 
0.004408, 0.004518, 0.000060 
0.004542, 0.004655, 0.000062 
0.004670, 0.004787, 0.000064 
0.004801, 0.004921, 0.000066 
0.004933, 0.005057, 0.000067 
0.005069, 0.005197, 0.000069 
0.005194, 0.005324, 0.000071 
0.005325, 0.005459, 0.000073 
0.005456, 0.005593, 0.000075 
0.005587, 0.005727, 0.000076 
0.004455, 0.007609, 0.007679 
0.004536, 0.007831, 0.008027 
0.004567, 0.007914, 0.008158 
0.004642, 0.008119, 0.008481 
0.004717, 0.008324, 0.008802 
0.004792, 0.008529, 0.009124 
0.004867, 0.008734, 0.009446 
0.004942, 0.008939, 0.009768 
0.005017, 0.009145, 0.010091 
0.005092, 0.009350, 0.010413 
0.005167, 0.009555, 0.010735 
0.005242, 0.009759, 0.011056 
0.005317, 0.009964, 0.011378 
0.005392, 0.010170, 0.011701 
0.005467, 0.010376, 0.012024 
0.005543, 0.010581, 0.012347 
0.005617, 0.010784, 0.012666 
0.005692, 0.010990, 0.012989 
0.005767, 0.011195, 0.013310 
0.005842, 0.011400, 0.013633 
0.004742, 0.009462, -0.000239 
0.004743, 0.009466, -0.000249 
0.004766, 0.009573, -0.000522 
0.004790, 0.009681, -0.000799 
0.004813, 0.009790, -0.001074 
0.004837, 0.009898, -0.001349 
0.004860, 0.010007, -0.001627 
0.004884, 0.010115, -0.001903 
0.004908, 0.010224, -0.002179 
0.004931, 0.010332, -0.002455 
0.004955, 0.010440, -0.002731 
0.004978, 0.010549, -0.003009 
0.005002, 0.010658, -0.003284 
0.005025, 0.010766, -0.003559 
0.005049, 0.010874, -0.003835 
0.005072, 0.010983, -0.004112 
0.005096, 0.011091, -0.004388 
0.005120, 0.011200, -0.004665 
0.005143, 0.011308, -0.004941 
0.005167, 0.011417, -0.005217 
0.005190, 0.011525, -0.005492 
0.005214, 0.011634, -0.005771 
0.006061, 0.009536, 0.001772 
0.006076, 0.009542, 0.001782 
0.006131, 0.009562, 0.001816 
