x(m), y(m), heading(rad)  
0.009377, 0.000792, 0.000199 
0.012988, 0.004222, 0.003936 
0.012782, 0.003913, 0.001860 
0.012518, 0.005854, 0.001098 
0.012367, 0.005987, 0.001622 
0.012065, 0.002881, 0.006303 
0.011059, 0.003424, 0.005392 
0.011640, 0.003055, 0.004662 
0.011700, 0.001431, 0.004472 
0.011162, 0.003706, 0.003595 
0.011772, 0.001842, 0.003731 
0.011634, -0.000105, 0.003751 
0.013956, 0.001200, 0.003845 
0.013915, 0.001638, 0.004257 
0.012510, 0.002417, 0.004160 
0.011027, 0.002194, 0.004063 
0.012471, 0.001173, 0.003667 
0.019925, 0.004271, 0.002560 
0.026834, 0.008771, 0.001278 
0.029322, 0.009712, 0.002055 
0.025630, 0.006833, 0.001463 
0.020979, 0.006259, 0.002292 
0.018004, 0.005696, 0.002673 
0.014375, 0.004482, 0.002954 
0.015538, 0.004316, 0.003292 
0.013102, 0.002069, 0.003593 
0.011164, 0.001681, 0.003659 
0.010937, 0.002450, 0.003736 
0.011204, 0.002908, 0.003575 
0.009456, 0.001363, 0.003457 
0.008872, 0.003672, 0.003203 
0.009480, 0.001734, 0.003752 
0.008770, 0.002706, 0.003922 
0.009964, 0.003366, 0.003083 
0.026063, 0.012019, 0.000092 
0.029021, 0.012095, 0.002018 
0.027602, 0.011314, 0.001218 
0.026689, 0.008608, 0.001463 
0.026090, 0.009156, 0.001937 
0.024165, 0.008309, 0.002054 
0.023459, 0.008099, 0.002150 
0.021617, 0.007562, 0.002125 
0.021658, 0.008414, 0.002027 
0.021626, 0.008178, 0.002236 
0.021858, 0.007755, 0.002072 
0.019842, 0.004651, 0.002661 
0.018563, 0.005751, 0.003000 
0.018571, 0.006680, 0.003410 
0.020611, 0.006947, 0.003061 
0.020570, 0.005330, 0.002814 
0.026291, 0.008156, 0.001562 
0.033140, 0.012374, 0.000366 
0.036405, 0.011601, 0.001030 
0.033110, 0.010206, 0.000357 
0.030377, 0.008157, 0.000961 
0.027551, 0.008145, 0.001575 
0.025632, 0.006278, 0.006612 
0.025382, 0.006354, 0.005745 
0.023318, 0.006505, 0.005295 
0.023561, 0.005845, 0.004615 
0.025457, 0.004024, 0.003787 
0.025025, 0.004374, 0.004069 
0.023962, 0.003969, 0.004440 
0.022674, 0.003631, 0.003938 
0.021638, 0.005285, 0.003784 
0.020310, 0.005864, 0.003981 
0.021849, 0.005940, 0.004304 
0.032417, 0.007934, 0.003970 
0.045973, 0.008732, 0.006621 
0.057984, 0.007809, 0.006347 
0.072299, 0.007564, 0.000302 
0.086627, 0.010600, -0.002013 
0.104480, 0.012697, -0.000343 
0.120438, 0.012110, 0.003028 
0.138099, 0.014712, -0.004481 
0.157089, 0.015315, -0.006483 
0.173724, 0.015125, -0.008166 
0.190646, 0.015215, -0.004294 
0.205360, 0.017202, -0.005666 
0.234701, 0.018387, -0.005065 
0.251548, 0.015436, -0.001816 
0.268290, 0.016125, -0.004576 
0.285713, 0.016132, -0.001661 
0.299593, 0.016317, -0.003848 
0.314560, 0.018165, -0.004106 
0.330319, 0.017930, -0.003426 
0.344467, 0.016954, -0.001757 
0.359323, 0.015246, -0.001737 
0.384690, 0.020300, -0.005632 
0.399093, 0.020126, -0.005285 
0.412666, 0.022320, -0.004924 
0.424796, 0.025167, -0.008158 
0.436938, 0.026246, -0.005723 
0.450265, 0.025591, -0.004911 
0.462810, 0.028206, -0.009218 
0.477645, 0.031174, -0.014314 
0.489765, 0.034394, -0.017824 
0.508572, 0.036664, -0.014657 
0.518925, 0.036755, -0.018950 
0.529230, 0.039501, -0.021820 
0.541200, 0.040180, -0.020835 
0.552607, 0.043803, -0.025141 
0.560707, 0.047440, -0.028265 
0.569835, 0.049245, -0.027086 
0.578729, 0.049287, -0.024587 
0.590917, 0.052746, -0.028901 
0.605502, 0.061373, -0.032516 
0.613887, 0.060977, -0.030916 
0.621117, 0.058303, -0.025109 
0.628695, 0.059123, -0.030030 
0.635872, 0.059574, -0.035506 
0.642428, 0.062324, -0.035323 
0.651019, 0.062267, -0.036102 
0.660412, 0.062289, -0.036794 
0.670548, 0.063102, -0.038796 
0.685283, 0.070492, -0.041973 
0.699020, 0.077135, -0.043001 
0.711541, 0.081920, -0.042690 
0.725453, 0.088788, -0.047932 
0.737017, 0.093474, -0.046843 
0.749875, 0.098694, -0.046093 
