x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.010977, 0.002068, 0.000490 
0.019445, 0.002928, 0.000486 
0.025579, 0.001415, 0.000859 
0.033353, 0.000540, 0.003717 
0.041378, -0.000054, 0.006254 
0.040773, 0.000522, 0.001040 
0.037522, -0.000637, 0.004508 
0.033960, -0.000738, 0.003566 
0.032087, -0.001366, 0.003358 
0.030544, -0.001999, 0.003588 
0.030768, -0.001783, 0.003428 
0.044153, -0.000628, 0.004163 
0.055801, -0.000697, 0.001845 
0.065075, -0.002288, 0.004546 
0.076354, -0.000935, 0.003142 
0.087193, -0.001211, 0.001113 
0.099006, -0.004139, 0.006211 
0.129290, -0.005322, 0.005126 
0.143946, -0.006780, 0.009935 
0.151699, -0.008695, 0.007419 
0.161481, -0.009383, 0.007190 
0.158014, -0.008536, 0.010825 
0.153875, -0.006527, 0.008436 
0.151455, -0.005986, 0.008920 
0.147771, -0.005833, 0.008483 
0.145149, -0.004949, 0.008092 
0.147934, -0.004014, 0.003214 
0.163796, -0.007235, 0.004969 
0.177813, -0.010298, 0.009727 
0.190853, -0.015424, 0.011127 
0.200643, -0.018632, 0.010273 
0.209852, -0.021991, 0.011962 
0.220343, -0.027263, 0.016630 
0.230724, -0.030044, 0.013205 
0.239398, -0.034597, 0.019067 
0.262586, -0.046760, 0.032345 
0.270672, -0.048589, 0.030339 
0.272539, -0.050801, 0.030851 
0.271482, -0.046157, 0.029209 
0.269812, -0.041703, 0.028879 
0.269031, -0.040969, 0.028819 
0.268518, -0.039967, 0.028613 
0.267543, -0.039439, 0.028262 
0.267796, -0.038685, 0.028214 
0.293532, -0.050050, 0.028064 
0.304821, -0.055345, 0.028171 
0.317763, -0.061308, 0.030428 
0.329287, -0.069420, 0.034764 
0.341196, -0.073915, 0.031634 
0.352168, -0.076408, 0.025860 
0.361739, -0.082011, 0.028597 
0.371560, -0.086389, 0.025998 
0.381387, -0.093197, 0.031500 
0.398767, -0.107542, 0.032109 
0.406921, -0.109763, 0.034504 
0.414221, -0.111045, 0.020048 
0.418897, -0.114883, 0.021133 
0.424033, -0.116853, 0.024682 
0.428004, -0.120655, 0.030675 
0.432331, -0.121034, 0.021698 
0.436302, -0.123016, 0.025172 
0.439127, -0.124335, 0.024915 
0.438683, -0.129623, 0.024589 
0.439193, -0.128344, 0.030498 
0.437551, -0.127180, 0.027797 
0.437945, -0.124796, 0.030159 
0.437524, -0.123572, 0.024626 
0.434505, -0.123903, 0.028104 
0.433631, -0.121896, 0.025393 
0.432022, -0.119283, 0.024628 
0.430661, -0.119192, 0.026583 
0.425873, -0.114820, 0.032917 
0.425839, -0.111370, 0.023476 
0.427279, -0.108374, 0.024306 
0.425662, -0.103459, 0.021367 
0.428771, -0.101347, 0.020589 
0.430081, -0.098131, 0.018300 
0.432977, -0.095405, 0.011392 
0.434396, -0.092137, 0.012042 
0.439180, -0.088704, 0.010944 
0.439848, -0.073927, 0.007543 
0.443108, -0.066096, -0.000924 
0.445194, -0.060869, 0.002084 
0.447313, -0.056102, -0.001072 
0.450252, -0.051320, -0.004254 
0.451076, -0.045845, -0.007330 
0.452438, -0.039497, -0.009737 
0.452283, -0.037282, -0.000729 
0.453592, -0.031182, -0.009440 
0.454365, -0.020832, -0.009485 
0.456385, -0.016905, -0.018101 
0.458121, -0.015104, -0.015004 
0.460629, -0.012208, -0.017712 
0.462668, -0.010330, -0.014696 
0.464128, -0.006441, -0.022976 
0.465989, -0.006142, -0.020278 
0.468085, -0.004146, -0.022860 
0.471334, -0.003454, -0.019281 
0.472896, 0.007697, -0.025513 
0.476156, 0.011751, -0.027670 
0.477336, 0.018600, -0.029859 
0.480239, 0.022661, -0.032023 
0.481799, 0.025528, -0.028783 
0.485467, 0.028823, -0.031363 
0.487293, 0.033124, -0.033719 
0.487791, 0.036182, -0.036286 
0.490133, 0.038787, -0.039393 
0.492139, 0.052317, -0.039282 
0.496593, 0.055634, -0.041644 
0.499269, 0.061434, -0.044178 
0.502959, 0.066621, -0.046533 
0.504547, 0.069153, -0.049217 
0.507509, 0.071433, -0.039558 
0.289621, 0.062182, 0.586786 
0.289849, 0.070147, 0.583622 
0.289747, 0.071615, 0.586849 
0.290731, 0.073023, 0.589310 
0.295084, 0.072234, 0.585485 
0.298119, 0.073147, 0.586873 
0.302166, 0.074040, 0.586258 
0.304066, 0.075788, 0.576181 
0.306580, 0.074287, 0.582138 
0.308791, 0.073113, 0.576827 
0.310553, 0.076051, 0.572693 
0.312496, 0.076239, 0.573241 
0.313001, 0.077522, 0.569083 
0.314664, 0.077041, 0.565326 
0.316750, 0.076239, 0.566102 
0.318229, 0.075362, 0.568402 
0.320000, 0.074169, 0.564529 
0.320543, 0.073325, 0.565659 
0.321638, 0.074132, 0.568060 
0.323039, 0.072214, 0.569190 
0.325791, 0.071267, 0.565596 
0.325083, 0.068491, 0.568260 
0.326936, 0.068100, 0.564806 
0.329870, 0.068862, 0.565305 
0.331994, 0.066553, 0.567978 
0.333003, 0.064055, 0.570908 
0.333697, 0.062582, 0.566314 
0.336903, 0.064641, 0.562877 
0.338146, 0.061766, 0.564050 
0.338971, 0.060042, 0.572748 
0.341379, 0.055981, 0.569185 
0.345617, 0.056101, 0.571329 
0.349642, 0.055930, 0.571202 
0.353799, 0.057184, 0.563733 
0.358031, 0.056481, 0.562423 
0.362252, 0.057792, 0.561758 
0.366641, 0.057540, 0.562234 
0.367958, 0.053912, 0.565959 
0.365765, 0.050397, 0.559666 
0.365355, 0.045745, 0.559797 
0.366472, 0.045927, 0.559334 
0.367975, 0.045138, 0.558737 
0.367950, 0.042150, 0.558579 
0.366731, 0.038888, 0.558734 
0.367006, 0.035738, 0.558525 
0.367787, 0.034175, 0.552865 
0.367795, 0.033230, 0.552409 
0.368227, 0.027847, 0.552105 
0.366455, 0.020227, 0.552251 
0.366659, 0.015686, 0.552486 
0.365085, 0.011035, 0.552931 
0.364467, 0.009060, 0.559171 
0.364164, 0.005783, 0.553327 
0.364340, 0.002854, 0.553898 
0.367029, 0.000432, 0.554824 
0.368252, -0.002550, 0.554468 
0.367133, -0.004849, 0.547621 
0.368275, -0.012951, 0.547763 
0.366825, -0.014343, 0.553856 
0.366422, -0.016935, 0.553305 
0.366039, -0.019141, 0.553658 
0.366267, -0.021151, 0.554039 
0.365509, -0.025204, 0.554304 
0.362837, -0.030174, 0.554644 
0.363652, -0.034139, 0.548520 
0.364538, -0.037993, 0.548653 
0.362612, -0.046008, 0.548846 
0.362514, -0.050672, 0.549357 
