time;input_1;input_2
0;0.2;0.2
0.05;0.2;0.2
0.1;0.2;0.2
0.15;0.2;0.2
0.2;0.2;0.2
0.25;0.2;0.2
0.3;0.2;0.2
0.35;0.2;0.2
0.4;0.2;0.2
0.45;0.2;0.2
0.5;0.2;0.2
0.55;0.2;0.2
0.6;0.2;0.2
0.65;0.2;0.2
0.7;0.2;0.2
0.75;0.2;0.2
0.8;0.2;0.2
0.85;0.2;0.2
0.9;0.2;0.2
0.95;0.2;0.2
1;0.2;0.2
1.05;0.2;0.2
1.1;0.2;0.2
1.15;0.2;0.2
1.2;0.2;0.2
1.25;0.2;0.2
1.3;0.2;0.2
1.35;0.2;0.2
1.4;0.2;0.2
1.45;0.2;0.2
1.5;0.2;0.2
1.55;0.2;0.2
1.6;0.2;0.2
1.65;0.2;0.2
1.7;0.2;0.2
1.75;0.2;0.2
1.8;0.2;0.2
1.85;0.2;0.2
1.9;0.2;0.2
1.95;0.2;0.2
2;0.2;0.2
2.05;0.2;0.2
2.1;0.2;0.2
2.15;0.2;0.2
2.2;0.2;0.2
2.25;0.2;0.2
2.3;0.2;0.2
2.35;0.2;0.2
2.4;0.2;0.2
2.45;0.2;0.2
2.5;0.2;0.2
2.55;0.2;0.2
2.6;0.2;0.2
2.65;0.2;0.2
2.7;0.2;0.2
2.75;0.2;0.2
2.8;0.2;0.2
2.85;0.2;0.2
2.9;0.2;0.2
2.95;0.2;0.2
3;0.2;0.2
3.05;0.2;0.2
3.1;0.2;0.2
3.15;0.2;0.2
3.2;0.2;0.2
3.25;0.2;0.2
3.3;0.2;0.2
3.35;0.2;0.2
3.4;0.2;0.2
3.45;0.2;0.2
3.5;0.2;0.2
3.55;0.2;0.2
3.6;0.2;0.2
3.65;0.2;0.2
3.7;0.2;0.2
3.75;0.2;0.2
3.8;0.2;0.2
3.85;0.2;0.2
3.9;0.2;0.2
3.95;0.2;0.2
4;0.2;0.2
4.05;0.2;0.2
4.1;0.2;0.2
4.15;0.2;0.2
4.2;0.2;0.2
4.25;0.2;0.2
4.3;0.2;0.2
4.35;0.2;0.2
4.4;0.2;0.2
4.45;0.2;0.2
4.5;0.2;0.2
4.55;0.2;0.2
4.6;0.2;0.2
4.65;0.2;0.2
4.7;0.2;0.2
4.75;0.2;0.2
4.8;0.2;0.2
4.85;0.2;0.2
4.9;0.2;0.2
4.95;0.2;0.2
5;0.2;0.2
5.05;0.2;0.2
5.1;0.2;0.2
5.15;0.2;0.2
5.2;0.2;0.2
5.25;0.2;0.2
5.3;0.2;0.2
5.35;0.2;0.2
5.4;0.2;0.2
5.45;0.2;0.2
5.5;0.2;0.2
5.55;0.2;0.2
5.6;0.2;0.2
5.65;0.2;0.2
5.7;0.2;0.2
5.75;0.2;0.2
5.8;0.2;0.2
5.85;0.2;0.2
5.9;0.2;0.2
5.95;0.2;0.2
6;0.2;0.2
6.05;0.2;0.2
6.1;0.2;0.2
6.15;0.2;0.2
6.2;0.2;0.2
6.25;0.2;0.2
6.3;0.2;0.2
6.35;0.2;0.2
6.4;0.2;0.2
6.45;0.2;0.2
6.5;0.2;0.2
6.55;0.2;0.2
6.6;0.2;0.2
6.65;0.2;0.2
6.7;0.2;0.2
6.75;0.2;0.2
6.8;0.2;0.2
6.85;0.2;0.2
6.9;0.2;0.2
6.95;0.2;0.2
7;0.2;0.2
7.05;0.2;0.2
7.1;0.2;0.2
7.15;0.2;0.2
7.2;0.2;0.2
7.25;0.2;0.2
7.3;0.2;0.2
7.35;0.2;0.2
7.4;0.2;0.2
7.45;0.2;0.2
7.5;0.2;0.2
7.55;0.2;0.2
7.6;0.2;0.2
7.65;0.2;0.2
7.7;0.2;0.2
7.75;0.2;0.2
7.8;0.2;0.2
7.85;0.2;0.2
7.9;0.2;0.2
7.95;0.2;0.2
8;0.2;0.2
8.05;0.2;0.2
8.1;0.2;0.2
8.15;0.2;0.2
8.2;0.2;0.2
8.25;0.2;0.2
8.3;0.2;0.2
8.35;0.2;0.2
8.4;0.2;0.2
8.45;0.2;0.2
8.5;0.2;0.2
8.55;0.2;0.2
8.6;0.2;0.2
8.65;0.2;0.2
8.7;0.2;0.2
8.75;0.2;0.2
8.8;0.2;0.2
8.85;0.2;0.2
8.9;0.2;0.2
8.95;0.2;0.2
9;0.2;0.2
9.05;0.2;0.2
9.1;0.2;0.2
9.15;0.2;0.2
9.2;0.2;0.2
9.25;0.2;0.2
9.3;0.2;0.2
9.35;0.2;0.2
9.4;0.2;0.2
9.45;0.2;0.2
9.5;0.2;0.2
9.55;0.2;0.2
9.6;0.2;0.2
9.65;0.2;0.2
9.7;0.2;0.2
9.75;0.2;0.2
9.8;0.2;0.2
9.85;0.2;0.2
9.9;0.2;0.2
9.95;0.2;0.2
10;0.2;0.2
10.05;0.2;0.2
10.1;0.2;0.2
10.15;0.2;0.2
10.2;0.2;0.2
10.25;0.2;0.2
10.3;0.2;0.2
10.35;0.2;0.2
10.4;0.2;0.2
10.45;0.2;0.2
10.5;0.2;0.2
10.55;0.2;0.2
10.6;0.2;0.2
10.65;0.2;0.2
10.7;0.2;0.2
10.75;0.2;0.2
10.8;0.2;0.2
10.85;0.2;0.2
10.9;0.2;0.2
10.95;0.2;0.2
11;0.2;0.2
11.05;0.2;0.2
11.1;0.2;0.2
11.15;0.2;0.2
11.2;0.2;0.2
11.25;0.2;0.2
11.3;0.2;0.2
11.35;0.2;0.2
11.4;0.2;0.2
11.45;0.2;0.2
11.5;0.2;0.2
11.55;0.2;0.2
11.6;0.2;0.2
11.65;0.2;0.2
11.7;0.2;0.2
11.75;0.2;0.2
11.8;0.2;0.2
11.85;0.2;0.2
11.9;0.2;0.2
11.95;0.2;0.2
12;0.2;0.2
12.05;0.2;0.2
12.1;0.2;0.2
12.15;0.2;0.2
12.2;0.2;0.2
12.25;0.2;0.2
12.3;0.2;0.2
12.35;0.2;0.2
12.4;0.2;0.2
12.45;0.2;0.2
12.5;0.2;0.2
12.55;0.2;0.2
12.6;0.2;0.2
12.65;0.2;0.2
12.7;0.2;0.2
12.75;0.2;0.2
12.8;0.2;0.2
12.85;0.2;0.2
12.9;0.2;0.2
12.95;0.2;0.2
13;0.2;0.2
13.05;0.2;0.2
13.1;0.2;0.2
13.15;0.2;0.2
13.2;0.2;0.2
13.25;0.2;0.2
13.3;0.2;0.2
13.35;0.2;0.2
13.4;0.2;0.2
13.45;0.2;0.2
13.5;0.2;0.2
13.55;0.2;0.2
13.6;0.2;0.2
13.65;0.2;0.2
13.7;0.2;0.2
13.75;0.2;0.2
13.8;0.2;0.2
13.85;0.2;0.2
13.9;0.2;0.2
13.95;0.2;0.2
14;0.2;0.2
14.05;0.2;0.2
14.1;0.2;0.2
14.15;0.2;0.2
14.2;0.2;0.2
14.25;0.2;0.2
14.3;0.2;0.2
14.35;0.2;0.2
14.4;0.2;0.2
14.45;0.2;0.2
14.5;0.2;0.2
14.55;0.2;0.2
14.6;0.2;0.2
14.65;0.2;0.2
14.7;0.2;0.2
14.75;0.2;0.2
14.8;0.2;0.2
14.85;0.2;0.2
14.9;0.2;0.2
14.95;0.2;0.2
15;0.2;0.2
15.05;0.2;0.2
15.1;0.2;0.2
15.15;0.2;0.2
15.2;0.2;0.2
15.25;0.2;0.2
15.3;0.2;0.2
15.35;0.2;0.2
15.4;0.2;0.2
15.45;0.2;0.2
15.5;0.2;0.2
15.55;0.2;0.2
15.6;0.2;0.2
15.65;0.2;0.2
15.7;0.2;0.2
15.75;0.2;0.2
15.8;0.2;0.2
15.85;0.2;0.2
15.9;0.2;0.2
15.95;0.2;0.2
16;0.2;0.2
16.05;0.2;0.2
16.1;0.2;0.2
16.15;0.2;0.2
16.2;0.2;0.2
16.25;0.2;0.2
16.3;0.2;0.2
16.35;0.2;0.2
16.4;0.2;0.2
16.45;0.2;0.2
16.5;0.2;0.2
16.55;0.2;0.2
16.6;0.2;0.2
16.65;0.2;0.2
16.7;0.2;0.2
16.75;0.2;0.2
16.8;0.2;0.2
16.85;0.2;0.2
16.9;0.2;0.2
16.95;0.2;0.2
17;0.2;0.2
17.05;0.2;0.2
17.1;0.2;0.2
17.15;0.2;0.2
17.2;0.2;0.2
17.25;0.2;0.2
17.3;0.2;0.2
17.35;0.2;0.2
17.4;0.2;0.2
17.45;0.2;0.2
17.5;0.2;0.2
17.55;0.2;0.2
17.6;0.2;0.2
17.65;0.2;0.2
17.7;0.2;0.2
